SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_TYPE_DPRTMNT_INTRST_IND,SITE_TYPE_EXTRNL_SUGG_IND,SITE_TYPE_LNG_TRM_TRND_IND,SITE_TYPE_MLTPLT_IND,SITE_TYPE_PROBABILISTIC_IND,SITE_TYPE_RAS_IND,SITE_TYPE_REFERENCE_IND,SITE_TYPE_RMN_IND,SITE_TYPE_SPCL_STDY_IND,SITE_TYPE_UNASSD_PWL_IND,EVENT_BASELINE,EVENT_EXTENT,DISCH_COLLECT_IND,TOTAL_DISCH,SEI_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_TYPE,SEIH_WATER_CHEM_COLLECT_IND,SEIH_CHEM_QAQC_IND,SEIH_CHEM_QAQC_TYPE,SEIH_CHEM_SAMP_LOC,SEIH_CHEM_SAMP_EQUP,SEIH_MICROTOX_IND,SEIH_ORG_FOR_TOXICS_IND,SEIH_DEPTH,SEIH_DEPTH_QLFR,SEIH_WIDTH,SEIH_WIDTH_QLFR,SEIH_SPEED_OF_STREAM_CURRENT,SEIH_SPD_OF_STRM_CURRENT_QLFR,SEIH_SECCHI,SEIH_SECCHI_QLFR,SEIH_ALGAE_DIATOMS_PRESENT,SEIH_THICKNESS_DIATOMS_PRESENT,SEIH_ALGAE_SUSPENDED_IND,SEIH_ALGAE_FILAMENTOUS_IND,MFDH_MACROPHYTES,SEIH_CANOPY,SEIH_EMBEDDEDNESS,SEIH_EMBEDDEDNESS_QLFR,SEIH_ROCK,SEIH_RUBBLE,SEIH_GRAVEL,SEIH_SAND,SEIH_SILT,SEIH_CLAY,SEIH_LAND_USE,SEIH_YSI_METER_ID,SEIH_TEMPERATURE,SEIH_CONDUCTANCE,SEIH_DISSOLVED_OXYGEN,SEIH_PH,SEIH_PCT_SATURATION,SEIH_SALINITY,SEIH_Chl_ugL,SEIH_Chl_RFU,SEIH_PC_ugL,SEIH_PC_RFU,SEIH_GENERAL_COMMENT,CHEM_RESULT_RCVD_IND,CHEM_RESULT_RCVD_NOTE,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
8170,07-NINE-0.7_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.7,,15,,10,,0,,0,,FALSE,TRUE,10,15,,,,,,,,,Commercial,,22.2,2743,10.4,7.9,120,1.42,,,,,,,,,,,
8171,07-NORB_T10-1.5_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,1,,,,0,,0,,FALSE,FALSE,0,100,,,,,,,,,Agriculture,,18.29,724,6.91,7.94,73.099999999999994,0.35,,,,,,,,,,,
8172,07-ONID_T3-1.4_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.14,,1.5,,45,,0,,50,0,FALSE,FALSE,20,25,10,,0,5,30,60,,5,Agriculture,,15.5,369,9.4,7.66,95,0.18,,,,,,,,,,,
8173,07-ONON-1.0_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.3,,10,,40,,0,,100,2,FALSE,TRUE,0,11,50,,30,40,20,5,0,5,Commercial,,19.7,4932,8.4,7.8,93,2.65,,,,,,,,,,,
8174,07-ONON_W-2.1_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,3,,60,,0,,100,3,FALSE,TRUE,0,15,65,,0,15,60,10,15,0,Agriculture,,25.66,631,7.33,7.72,90,,,,,,,,,,,,
8175,07-SAWM-0.6_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,0.14,,2,,45,,0,,100,2,FALSE,TRUE,0,50,20,,2,58,30,5,5,,Residential,,20,1836,7.3,7.9,82,0.94,,,,,,,,,,,
8176,07-SCON-0.9_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,10,,40,,0,,80,0,FALSE,TRUE,0,50,20,,40,30,,25,5,,Commercial,,27.7,1293,12,8.53,156,0.61,,,,,,,,,,,
8177,07-SKAN-2.2_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,8,,55,,0,,100,3,FALSE,TRUE,0,73,50,,0,0,80,20,0,0,Agriculture,,19.93,980,8.73,7.96,96.1,0.49,,,,,,,,,,,
8178,07-SKAN_T4-1.5_20160713,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,,,0,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8179,07-SKAT_T14-0.2_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,2,,40,,0,,100,2,FALSE,TRUE,0,95,40,,25,35,30,10,0,0,Residential,,18.2,536,9.4,8.1,100,0.26,,,,,,,,,,,
